date,store_name,product_name,size,sku,price,units_sold,units_restocked,estimated_revenue,stock_remaining_today,product_url
2026-09-24,Cava Athleisure,Grey Melange Everywear Leisure Tee,M,MTS1422GMLM,799.0,1,0,799.0,106,https://cavaathleisure.com/products/grey-melange-everywear-leisure-tee
2026-09-24,Cava Athleisure,Grey Melange Everywear Leisure Tee,L,MTS1422GMLL,799.0,1,0,799.0,80,https://cavaathleisure.com/products/grey-melange-everywear-leisure-tee
2026-09-24,Cava Athleisure,"Blue 5"" Pacer Shorts",30,MSH4217BL30,1596.0,1,0,1596.0,26,https://cavaathleisure.com/products/blue-5-pacer-shorts
2026-09-24,Cava Athleisure,"Blue 5"" Pacer Shorts",32,MSH4217BL32,1596.0,4,0,6384.0,83,https://cavaathleisure.com/products/blue-5-pacer-shorts
2026-09-24,Cava Athleisure,Butter Yellow ADPT™ Wrap Top,XS,WTP10245YLXS,1299.0,3,0,3897.0,44,https://cavaathleisure.com/products/butter-yellow-adpt-wrap-top
2026-09-24,Cava Athleisure,Butter Yellow ADPT™ Wrap Top,S,WTP10245YLS,1299.0,3,0,3897.0,134,https://cavaathleisure.com/products/butter-yellow-adpt-wrap-top
2026-09-24,Cava Athleisure,Butter Yellow ADPT™ Wrap Top,M,WTP10245YLM,1299.0,4,0,5196.0,140,https://cavaathleisure.com/products/butter-yellow-adpt-wrap-top
2026-09-24,Cava Athleisure,Butter Yellow ADPT™ Wrap Top,L,WTP10245YLL,1299.0,3,0,3897.0,66,https://cavaathleisure.com/products/butter-yellow-adpt-wrap-top
2026-09-24,Cava Athleisure,Maroon Everywear Leisure Tee,M,MTS1422RDM,799.0,2,0,1598.0,134,https://cavaathleisure.com/products/maroon-everywear-leisure-tee
2026-09-24,Cava Athleisure,Maroon Everywear Leisure Tee,L,MTS1422RDL,799.0,1,0,799.0,99,https://cavaathleisure.com/products/maroon-everywear-leisure-tee
2026-09-24,Cava Athleisure,Cherry ADPT™ Wrap Top,S,WTP10245CRDS,1299.0,3,0,3897.0,131,https://cavaathleisure.com/products/cherry-adpt-wrap-top
2026-09-24,Cava Athleisure,Cherry ADPT™ Wrap Top,M,WTP10245CRDM,1299.0,3,0,3897.0,111,https://cavaathleisure.com/products/cherry-adpt-wrap-top
2026-09-24,Cava Athleisure,Cherry ADPT™ Wrap Top,L,WTP10245CRDL,1299.0,3,0,3897.0,89,https://cavaathleisure.com/products/cherry-adpt-wrap-top
2026-09-24,Cava Athleisure,Ivory Cotton Leisure Shorts,S,MSH1622WHS,899.0,4,0,3596.0,47,https://cavaathleisure.com/products/ivory-cotton-leisure-shorts
2026-09-24,Cava Athleisure,Ivory Cotton Leisure Shorts,M,MSH1622WHM,899.0,6,0,5394.0,160,https://cavaathleisure.com/products/ivory-cotton-leisure-shorts
2026-09-24,Cava Athleisure,Ivory Cotton Leisure Shorts,L,MSH1622WHL,899.0,4,0,3596.0,80,https://cavaathleisure.com/products/ivory-cotton-leisure-shorts
2026-09-24,Cava Athleisure,Ivory Cotton Leisure Shorts,XL,MSH1622WHXL,899.0,3,0,2697.0,60,https://cavaathleisure.com/products/ivory-cotton-leisure-shorts
2026-09-24,Cava Athleisure,Ivory Cotton Leisure Shorts,XXL,MSH1622WHXXL,899.0,3,0,2697.0,40,https://cavaathleisure.com/products/ivory-cotton-leisure-shorts
2026-09-24,Cava Athleisure,Grey Melange Cotton Leisure Shorts,S,MSH1622GMLS,899.0,4,0,3596.0,57,https://cavaathleisure.com/products/grey-melange-cotton-leisure-shorts
2026-09-24,Cava Athleisure,Grey Melange Cotton Leisure Shorts,M,MSH1622GMLM,899.0,5,0,4495.0,184,https://cavaathleisure.com/products/grey-melange-cotton-leisure-shorts
