date,store_name,total_units_sold,total_units_restocked,total_estimated_revenue,items_with_sales
2026-09-24,Cava Athleisure,11293,8514,12249517.0,1216
2026-09-24,Musclemind,49,214,113751.0,41
2026-09-24,Kosher Casual,16,0,487.4,13
