date,store_name,total_units_sold,total_units_restocked,total_estimated_revenue,items_with_sales
2026-09-25,Cava Athleisure,6080,9711,6485996.0,898
2026-09-25,Musclemind,599,3,1377701.0,288
2026-09-25,Kosher Casual,31,0,800.92,31
