date,store_name,product_name,size,sku,price,units_sold,units_restocked,estimated_revenue,stock_remaining_today,product_url
2026-09-25,Cava Athleisure,Maroon Everywear Leisure Tee,M,MTS1422RDM,799.0,1,0,799.0,133,https://cavaathleisure.com/products/maroon-everywear-leisure-tee
2026-09-25,Cava Athleisure,"Blue 5"" Pacer Shorts",32,MSH4217BL32,1596.0,1,0,1596.0,82,https://cavaathleisure.com/products/blue-5-pacer-shorts
2026-09-25,Cava Athleisure,Butter Yellow ADPT™ Wrap Top,XS,WTP10245YLXS,1299.0,8,0,10392.0,36,https://cavaathleisure.com/products/butter-yellow-adpt-wrap-top
2026-09-25,Cava Athleisure,Butter Yellow ADPT™ Wrap Top,S,WTP10245YLS,1299.0,7,0,9093.0,127,https://cavaathleisure.com/products/butter-yellow-adpt-wrap-top
2026-09-25,Cava Athleisure,Butter Yellow ADPT™ Wrap Top,M,WTP10245YLM,1299.0,6,0,7794.0,134,https://cavaathleisure.com/products/butter-yellow-adpt-wrap-top
2026-09-25,Cava Athleisure,Butter Yellow ADPT™ Wrap Top,L,WTP10245YLL,1299.0,12,0,15588.0,54,https://cavaathleisure.com/products/butter-yellow-adpt-wrap-top
2026-09-25,Cava Athleisure,Butter Yellow ADPT™ Wrap Top,XL,WTP10245YLXL,1299.0,5,0,6495.0,43,https://cavaathleisure.com/products/butter-yellow-adpt-wrap-top
2026-09-25,Cava Athleisure,Butter Yellow ADPT™ Wrap Top,XXL,WTP10245YLXXL,1299.0,4,0,5196.0,43,https://cavaathleisure.com/products/butter-yellow-adpt-wrap-top
2026-09-25,Cava Athleisure,Cherry ADPT™ Wrap Top,XS,WTP10245CRDXS,1299.0,6,0,7794.0,31,https://cavaathleisure.com/products/cherry-adpt-wrap-top
2026-09-25,Cava Athleisure,Cherry ADPT™ Wrap Top,S,WTP10245CRDS,1299.0,8,0,10392.0,123,https://cavaathleisure.com/products/cherry-adpt-wrap-top
2026-09-25,Cava Athleisure,Cherry ADPT™ Wrap Top,M,WTP10245CRDM,1299.0,11,0,14289.0,100,https://cavaathleisure.com/products/cherry-adpt-wrap-top
2026-09-25,Cava Athleisure,Cherry ADPT™ Wrap Top,L,WTP10245CRDL,1299.0,6,0,7794.0,83,https://cavaathleisure.com/products/cherry-adpt-wrap-top
2026-09-25,Cava Athleisure,Cherry ADPT™ Wrap Top,XL,WTP10245CRDXL,1299.0,6,0,7794.0,17,https://cavaathleisure.com/products/cherry-adpt-wrap-top
2026-09-25,Cava Athleisure,Cherry ADPT™ Wrap Top,XXL,WTP10245CRDXXL,1299.0,4,0,5196.0,16,https://cavaathleisure.com/products/cherry-adpt-wrap-top
2026-09-25,Cava Athleisure,Ivory Cotton Leisure Shorts,M,MSH1622WHM,899.0,1,0,899.0,159,https://cavaathleisure.com/products/ivory-cotton-leisure-shorts
2026-09-25,Cava Athleisure,"Olive 5"" Pacer Shorts",30,MSH4217OGR30,1596.0,1,0,1596.0,49,https://cavaathleisure.com/products/olive-5-pacer-shorts
2026-09-25,Cava Athleisure,"Olive 5"" Pacer Shorts",32,MSH4217OGR32,1596.0,2,0,3192.0,91,https://cavaathleisure.com/products/olive-5-pacer-shorts
2026-09-25,Cava Athleisure,"Olive 5"" Pacer Shorts",34,MSH4217OGR34,1596.0,2,0,3192.0,59,https://cavaathleisure.com/products/olive-5-pacer-shorts
2026-09-25,Cava Athleisure,Ivory Everywear Leisure Tee,S,MTS1422WHS,799.0,1,0,799.0,92,https://cavaathleisure.com/products/ivory-everywear-leisure-tee
2026-09-25,Cava Athleisure,Ivory Everywear Leisure Tee,M,MTS1422WHM,799.0,1,0,799.0,136,https://cavaathleisure.com/products/ivory-everywear-leisure-tee
2026-09-25,Cava Athleisure,Ivory Everywear Leisure Tee,L,MTS1422WHL,799.0,1,0,799.0,101,https://cavaathleisure.com/products/ivory-everywear-leisure-tee
2026-09-25,Cava Athleisure,Plum Cotton Flared Leggings,XS,WFP6221PUXS,1599.0,4,0,6396.0,32,https://cavaathleisure.com/products/plum-cotton-flared-leggings
2026-09-25,Cava Athleisure,Plum Cotton Flared Leggings,S,WFP6221PUS,1599.0,8,0,12792.0,64,https://cavaathleisure.com/products/plum-cotton-flared-leggings
