date,store_name,product_name,size,sku,price,units_sold,units_restocked,estimated_revenue,stock_remaining_today,product_url
2026-08-25,Cava Athleisure,Cherry Heartline Sports Bra,XS,WSB3918RDXS,1399.0,0,1,0.0,1,https://cavaathleisure.com/products/cherry-heartline-sports-bra
2026-08-25,Cava Athleisure,Brown Trailscape Tracks,32,MJR5410BNM,2049.0,1,0,2049.0,11,https://cavaathleisure.com/products/brown-trailscape-tracks
2026-08-25,Cava Athleisure,Brown Hourglass Booty Shorts,XS,WSH0845BNXS,1099.0,1,0,1099.0,37,https://cavaathleisure.com/products/brown-hourglass-booty-shorts
2026-08-25,Cava Athleisure,Brown Hourglass Booty Shorts,S,WSH0845BNS,1099.0,1,0,1099.0,112,https://cavaathleisure.com/products/brown-hourglass-booty-shorts
2026-08-25,Cava Athleisure,Brown Hourglass Booty Shorts,M,WSH0845BNM,1099.0,1,0,1099.0,28,https://cavaathleisure.com/products/brown-hourglass-booty-shorts
2026-08-25,Cava Athleisure,Coral Sculpt Crew Top,L,WTP0218ORL,899.0,0,1,0.0,110,https://cavaathleisure.com/products/coral-sculpt-crew-top
2026-08-25,Cava Athleisure,Mint Sculpt Crew Top,S,WTP0218GRS,899.0,1,0,899.0,174,https://cavaathleisure.com/products/mint-sculpt-crew-top
2026-08-25,Cava Athleisure,Coral Sculpt Core Top,S,WTP0118ORS,799.0,0,2,0.0,129,https://cavaathleisure.com/products/coral-sculpt-core-top
2026-08-25,Cava Athleisure,Coral Sculpt Core Top,M,WTP0118ORM,799.0,0,1,0.0,33,https://cavaathleisure.com/products/coral-sculpt-core-top
2026-08-25,Cava Athleisure,Mint Sculpt Booty Shorts,S,WSH0418GRS,999.0,2,0,1998.0,244,https://cavaathleisure.com/products/mint-sculpt-booty-shorts
2026-08-25,Cava Athleisure,Pink Sculpt Crew Top,S,WTP0218PNS,899.0,2,0,1798.0,50,https://cavaathleisure.com/products/pink-sculpt-crew-top
2026-08-25,Cava Athleisure,Pink Sculpt Crew Top,M,WTP0218PNM,899.0,3,0,2697.0,6,https://cavaathleisure.com/products/pink-sculpt-crew-top
2026-08-25,Cava Athleisure,Pink Sculpt Core Top,XS,WTP0118PNXS,799.0,1,0,799.0,1,https://cavaathleisure.com/products/pink-sculpt-core-top
2026-08-25,Cava Athleisure,Pink Sculpt Core Leggings,XS,WLG0218PNXS,1199.0,28,0,33572.0,20,https://cavaathleisure.com/products/pink-sculpt-core-leggings
2026-08-25,Cava Athleisure,Pink Sculpt Core Leggings,S,WLG0218PNS,1199.0,137,0,164263.0,20,https://cavaathleisure.com/products/pink-sculpt-core-leggings
2026-08-25,Cava Athleisure,Pink Sculpt Core Leggings,M,WLG0218PNM,1199.0,157,0,188243.0,1,https://cavaathleisure.com/products/pink-sculpt-core-leggings
2026-08-25,Cava Athleisure,Pink Sculpt Core Leggings,L,WLG0218PNL,1199.0,91,0,109109.0,1,https://cavaathleisure.com/products/pink-sculpt-core-leggings
2026-08-25,Cava Athleisure,Pink Sculpt Core Leggings,XL,WLG0218PNXL,1199.0,44,0,52756.0,1,https://cavaathleisure.com/products/pink-sculpt-core-leggings
