date,store_name,product_name,size,sku,price,units_sold,units_restocked,estimated_revenue,stock_remaining_today,product_url
2026-09-16,Cava Athleisure,Navy Cotton Flared Leggings,M,WFP6221NYM,1599.0,2,0,3198.0,131,https://cavaathleisure.com/products/navy-cotton-flared-leggings
2026-09-16,Cava Athleisure,Navy Cotton Flared Leggings,L,WFP6221NYL,1599.0,1,0,1599.0,105,https://cavaathleisure.com/products/navy-cotton-flared-leggings
2026-09-16,Cava Athleisure,Plum Cotton Flared Leggings,XS,WFP6221PUXS,1599.0,1,0,1599.0,44,https://cavaathleisure.com/products/plum-cotton-flared-leggings
2026-09-16,Cava Athleisure,Plum Cotton Flared Leggings,S,WFP6221PUS,1599.0,2,0,3198.0,93,https://cavaathleisure.com/products/plum-cotton-flared-leggings
2026-09-16,Cava Athleisure,Plum Cotton Flared Leggings,M,WFP6221PUM,1599.0,1,0,1599.0,82,https://cavaathleisure.com/products/plum-cotton-flared-leggings
2026-09-16,Cava Athleisure,Plum Cotton Flared Leggings,L,WFP6221PUL,1599.0,1,0,1599.0,98,https://cavaathleisure.com/products/plum-cotton-flared-leggings
2026-09-16,Cava Athleisure,Plum Cotton Flared Leggings,XL,WFP6221PUXL,1599.0,1,0,1599.0,58,https://cavaathleisure.com/products/plum-cotton-flared-leggings
2026-09-16,Cava Athleisure,Plum Cotton Flared Leggings,XXL,WFP6221PUXXL,1599.0,1,0,1599.0,29,https://cavaathleisure.com/products/plum-cotton-flared-leggings
2026-09-16,Cava Athleisure,Purple Contour Flared Leggings,S,WFP3720PUS,1399.0,2,0,2798.0,96,https://cavaathleisure.com/products/purple-contour-flared-leggings
2026-09-16,Cava Athleisure,Purple Contour Flared Leggings,L,WFP3720PUL,1399.0,2,0,2798.0,122,https://cavaathleisure.com/products/purple-contour-flared-leggings
2026-09-16,Cava Athleisure,Purple Contour Flared Leggings,XL,WFP3720PUXL,1399.0,2,0,2798.0,52,https://cavaathleisure.com/products/purple-contour-flared-leggings
2026-09-16,Cava Athleisure,Teal Contour Flared Leggings,XS,WFP3720GRXS,1399.0,1,0,1399.0,60,https://cavaathleisure.com/products/teal-contour-flared-leggings
2026-09-16,Cava Athleisure,Teal Contour Flared Leggings,S,WFP3720GRS,1399.0,1,0,1399.0,105,https://cavaathleisure.com/products/teal-contour-flared-leggings
2026-09-16,Cava Athleisure,Teal Contour Flared Leggings,M,WFP3720GRM,1399.0,5,0,6995.0,166,https://cavaathleisure.com/products/teal-contour-flared-leggings
2026-09-16,Cava Athleisure,Teal Contour Flared Leggings,L,WFP3720GRL,1399.0,2,0,2798.0,116,https://cavaathleisure.com/products/teal-contour-flared-leggings
2026-09-16,Cava Athleisure,Teal Contour Flared Leggings,XXL,WFP3720GRXXL,1399.0,1,0,1399.0,35,https://cavaathleisure.com/products/teal-contour-flared-leggings
2026-09-16,Cava Athleisure,Ivory Studio Gym Bag,One size,WAC10923WHFREE,1699.0,2,0,3398.0,403,https://cavaathleisure.com/products/ivory-studio-gym-bag
2026-09-16,Cava Athleisure,Pink Studio Gym Bag,One size,WAC10923PNFREE,1699.0,0,7,0.0,451,https://cavaathleisure.com/products/pink-studio-gym-bag
2026-09-16,Cava Athleisure,Black Studio Gym Bag,One size,WAC10923BKFREE,1699.0,0,7,0.0,451,https://cavaathleisure.com/products/black-studio-gym-bag
2026-09-16,Cava Athleisure,Berry Ruched Capri,XL,WLG13417RDXL,1899.0,0,2,0.0,2,https://cavaathleisure.com/products/berry-ruched-capri
2026-09-16,Cava Athleisure,Blush Lace Off-Shoulder Top,S,WTP16517PNS,1799.0,5,0,8995.0,10,https://cavaathleisure.com/products/blush-lace-off-shoulder-top
2026-09-16,Cava Athleisure,Blush Lace Off-Shoulder Top,M,WTP16517PNM,1799.0,6,0,10794.0,24,https://cavaathleisure.com/products/blush-lace-off-shoulder-top
2026-09-16,Cava Athleisure,Blush Lace Off-Shoulder Top,XL,WTP16517PNXL,1799.0,1,0,1799.0,8,https://cavaathleisure.com/products/blush-lace-off-shoulder-top
2026-09-16,Cava Athleisure,Blue  Lace Off-Shoulder Top,S,WTP16517BLS,1799.0,1,0,1799.0,14,https://cavaathleisure.com/products/blue-lace-off-shoulder-top
2026-09-16,Cava Athleisure,Blue  Lace Off-Shoulder Top,M,WTP16517BLM,1799.0,1,0,1799.0,40,https://cavaathleisure.com/products/blue-lace-off-shoulder-top
2026-09-16,Cava Athleisure,Black Polka Lace Off-Shoulder Top,L,WTP16517BKL,1899.0,11,0,20889.0,4,https://cavaathleisure.com/products/black-polka-lace-off-shoulder-top
2026-09-16,Cava Athleisure,Berry Lace Off-Shoulder Top,XS,WTP16517RDXS,1799.0,1,0,1799.0,3,https://cavaathleisure.com/products/berry-lace-off-shoulder-top
2026-09-16,Cava Athleisure,Berry Lace Off-Shoulder Top,S,WTP16517RDS,1799.0,3,0,5397.0,30,https://cavaathleisure.com/products/berry-lace-off-shoulder-top
2026-09-16,Cava Athleisure,Berry Lace Off-Shoulder Top,M,WTP16517RDM,1799.0,2,0,3598.0,30,https://cavaathleisure.com/products/berry-lace-off-shoulder-top
2026-09-16,Cava Athleisure,Berry Lace Off-Shoulder Top,L,WTP16517RDL,1799.0,4,0,7196.0,19,https://cavaathleisure.com/products/berry-lace-off-shoulder-top
2026-09-16,Cava Athleisure,Berry Lace Off-Shoulder Top,XXL,WTP16517RDXXL,1799.0,1,0,1799.0,14,https://cavaathleisure.com/products/berry-lace-off-shoulder-top
