date,store_name,product_name,size,sku,price,units_sold,units_restocked,estimated_revenue,stock_remaining_today,product_url
2026-09-20,Cava Athleisure,Ivory Cotton Leisure Shorts,M,MSH1622WHM,799.0,1,0,799.0,166,https://cavaathleisure.com/products/ivory-cotton-leisure-shorts
2026-09-20,Cava Athleisure,Ivory Cotton Leisure Shorts,L,MSH1622WHL,799.0,1,0,799.0,87,https://cavaathleisure.com/products/ivory-cotton-leisure-shorts
2026-09-20,Cava Athleisure,Cherry ADPT™ Wrap Top,XS,WTP10245CRDXS,1299.0,1,0,1299.0,44,https://cavaathleisure.com/products/cherry-adpt-wrap-top
2026-09-20,Cava Athleisure,Cherry ADPT™ Wrap Top,M,WTP10245CRDM,1299.0,1,0,1299.0,122,https://cavaathleisure.com/products/cherry-adpt-wrap-top
2026-09-20,Cava Athleisure,Ivory Everywear Leisure Tee,M,MTS1422WHM,699.0,1,0,699.0,148,https://cavaathleisure.com/products/ivory-everywear-leisure-tee
2026-09-20,Cava Athleisure,Ivory Everywear Leisure Tee,XL,MTS1422WHXL,699.0,2,0,1398.0,49,https://cavaathleisure.com/products/ivory-everywear-leisure-tee
2026-09-20,Cava Athleisure,Navy Cotton Flared Leggings,S,WFP6221NYS,1599.0,1,0,1599.0,104,https://cavaathleisure.com/products/navy-cotton-flared-leggings
2026-09-20,Cava Athleisure,Navy Cotton Flared Leggings,M,WFP6221NYM,1599.0,1,0,1599.0,128,https://cavaathleisure.com/products/navy-cotton-flared-leggings
2026-09-20,Cava Athleisure,Navy Cotton Flared Leggings,L,WFP6221NYL,1599.0,1,0,1599.0,102,https://cavaathleisure.com/products/navy-cotton-flared-leggings
2026-09-20,Cava Athleisure,Navy Cotton Flared Leggings,XXL,WFP6221NYXXL,1599.0,1,0,1599.0,29,https://cavaathleisure.com/products/navy-cotton-flared-leggings
2026-09-20,Cava Athleisure,Purple Contour Flared Leggings,S,WFP3720PUS,1399.0,2,0,2798.0,93,https://cavaathleisure.com/products/purple-contour-flared-leggings
2026-09-20,Cava Athleisure,Purple Contour Flared Leggings,M,WFP3720PUM,1399.0,3,0,4197.0,162,https://cavaathleisure.com/products/purple-contour-flared-leggings
2026-09-20,Cava Athleisure,Plum Cotton Flared Leggings,M,WFP6221PUM,1599.0,1,0,1599.0,79,https://cavaathleisure.com/products/plum-cotton-flared-leggings
2026-09-20,Cava Athleisure,Plum Cotton Flared Leggings,L,WFP6221PUL,1599.0,1,0,1599.0,96,https://cavaathleisure.com/products/plum-cotton-flared-leggings
