store_domain,product_id,product_name,product_type,vendor,variant_id,variant_title,size,option1,option2,option3,sku,price,available,stock_quantity_left,product_url
https://musclemind.com,10137200820473,Branded Tailored Tee,,Musclemind activeleisure,48692124090617,Black / M,M,Black,M,,8906189276019,1499.00,True,Hidden/Unexposed,https://musclemind.com/products/branded-tailored-tee
https://musclemind.com,10137200820473,Branded Tailored Tee,,Musclemind activeleisure,48692124123385,Black / L,L,Black,L,,8906189276026,1499.00,True,Hidden/Unexposed,https://musclemind.com/products/branded-tailored-tee
https://musclemind.com,10137200820473,Branded Tailored Tee,,Musclemind activeleisure,48692124156153,Black / XL,XL,Black,XL,,8906189276033,1499.00,True,Hidden/Unexposed,https://musclemind.com/products/branded-tailored-tee
https://musclemind.com,10084230168825,Mens Sleeveless Seamless Compression T-shirt,,Musclemind activeleisure,48497483743481,Ivy Green / S,S,Ivy Green,S,,8906189275685,1899.00,True,Hidden/Unexposed,https://musclemind.com/products/mens-sleeveless-seamless-compression-t-shirt-ivy-green
https://musclemind.com,10084230168825,Mens Sleeveless Seamless Compression T-shirt,,Musclemind activeleisure,48497182474489,Ivy Green / M,M,Ivy Green,M,,8906189275692,1899.00,False,0,https://musclemind.com/products/mens-sleeveless-seamless-compression-t-shirt-ivy-green
https://musclemind.com,10084230168825,Mens Sleeveless Seamless Compression T-shirt,,Musclemind activeleisure,48497182507257,Ivy Green / L,L,Ivy Green,L,,8906189275708,1899.00,True,Hidden/Unexposed,https://musclemind.com/products/mens-sleeveless-seamless-compression-t-shirt-ivy-green
https://musclemind.com,10084230168825,Mens Sleeveless Seamless Compression T-shirt,,Musclemind activeleisure,48497182540025,Ivy Green / XL,XL,Ivy Green,XL,,8906189275715,1899.00,False,0,https://musclemind.com/products/mens-sleeveless-seamless-compression-t-shirt-ivy-green
https://musclemind.com,10071655383289,High Waist Flare Pants,,Musclemind activeleisure,48452821385465,Navy Blue / XS,XS,Navy Blue,XS,,8906189275616,1999.00,True,Hidden/Unexposed,https://musclemind.com/products/high-waist-flare-pants-navy-blue
https://musclemind.com,10071655383289,High Waist Flare Pants,,Musclemind activeleisure,48452821418233,Navy Blue / S,S,Navy Blue,S,,8906189275623,1999.00,True,Hidden/Unexposed,https://musclemind.com/products/high-waist-flare-pants-navy-blue
https://musclemind.com,10071655383289,High Waist Flare Pants,,Musclemind activeleisure,48452821451001,Navy Blue / M,M,Navy Blue,M,,8906189275630,1999.00,True,Hidden/Unexposed,https://musclemind.com/products/high-waist-flare-pants-navy-blue
https://musclemind.com,10071655383289,High Waist Flare Pants,,Musclemind activeleisure,48452821483769,Navy Blue / L,L,Navy Blue,L,,8906189275647,1999.00,True,Hidden/Unexposed,https://musclemind.com/products/high-waist-flare-pants-navy-blue
https://musclemind.com,10071655383289,High Waist Flare Pants,,Musclemind activeleisure,48452821516537,Navy Blue / XL,XL,Navy Blue,XL,,8906189275654,1999.00,False,0,https://musclemind.com/products/high-waist-flare-pants-navy-blue
https://musclemind.com,10014971134201,Core Training Ultralight T-shirt,T-shirt,Musclemind activeleisure,48283657502969,Grey / S,S,Grey,S,,8906189275012,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/core-training-ultralight-t-shirt-2
https://musclemind.com,10014971134201,Core Training Ultralight T-shirt,T-shirt,Musclemind activeleisure,48283752890617,Grey / M,M,Grey,M,,8906189275029,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/core-training-ultralight-t-shirt-2
https://musclemind.com,10014971134201,Core Training Ultralight T-shirt,T-shirt,Musclemind activeleisure,48283752923385,Grey / L,L,Grey,L,,8906189275036,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/core-training-ultralight-t-shirt-2
https://musclemind.com,10014971134201,Core Training Ultralight T-shirt,T-shirt,Musclemind activeleisure,48283752956153,Grey / XL,XL,Grey,XL,,8906189275043,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/core-training-ultralight-t-shirt-2
https://musclemind.com,10014971134201,Core Training Ultralight T-shirt,T-shirt,Musclemind activeleisure,48326274547961,Grey / XXL,XXL,Grey,XXL,,8906189275050,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/core-training-ultralight-t-shirt-2
https://musclemind.com,10014959468793,Core Training Ultralight T-shirt,T-shirt,Musclemind activeleisure,48283535376633,Black / S,S,Black,S,,8906189274916,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/core-training-ultralight-t-shirt-1
https://musclemind.com,10014959468793,Core Training Ultralight T-shirt,T-shirt,Musclemind activeleisure,48283586298105,Black / M,M,Black,M,,8906189274923,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/core-training-ultralight-t-shirt-1
https://musclemind.com,10014959468793,Core Training Ultralight T-shirt,T-shirt,Musclemind activeleisure,48283586330873,Black / L,L,Black,L,,8906189274930,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/core-training-ultralight-t-shirt-1
https://musclemind.com,10014959468793,Core Training Ultralight T-shirt,T-shirt,Musclemind activeleisure,48283586363641,Black / XL,XL,Black,XL,,8906189274947,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/core-training-ultralight-t-shirt-1
https://musclemind.com,10014959468793,Core Training Ultralight T-shirt,T-shirt,Musclemind activeleisure,48326271271161,Black / XXL,XXL,Black,XXL,,8906189274954,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/core-training-ultralight-t-shirt-1
https://musclemind.com,10014925816057,Core Training Ultralight T-shirt,T-shirt,Musclemind activeleisure,48283200979193,Brown / S,S,Brown,S,,8906189274961,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/core-training-ultralight-t-shirt
https://musclemind.com,10014925816057,Core Training Ultralight T-shirt,T-shirt,Musclemind activeleisure,48283263500537,Brown / M,M,Brown,M,,8906189274978,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/core-training-ultralight-t-shirt
https://musclemind.com,10014925816057,Core Training Ultralight T-shirt,T-shirt,Musclemind activeleisure,48283263533305,Brown / L,L,Brown,L,,8906189274985,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/core-training-ultralight-t-shirt
