store_domain,product_id,product_name,product_type,vendor,variant_id,size,sku,price,available,availability_status,stock_quantity_left,product_url
https://crepdogcrew.com,8847857123574,Jordan 1 Mid SE Seersucker (W),sneaker shoes,Nike Air Jordan,47834578780406,WHITE / UK 8.5,CL25605,14499.00,True,Available,In Stock,https://crepdogcrew.com/products/jordan-1-mid-se-seersucker-w
https://crepdogcrew.com,8847857123574,Jordan 1 Mid SE Seersucker (W),sneaker shoes,Nike Air Jordan,47834578813174,WHITE / UK 9,CL25606,12999.00,True,Available,In Stock,https://crepdogcrew.com/products/jordan-1-mid-se-seersucker-w
https://crepdogcrew.com,8847857123574,Jordan 1 Mid SE Seersucker (W),sneaker shoes,Nike Air Jordan,47834578845942,WHITE / UK 9.5,CL25607,12999.00,True,Available,In Stock,https://crepdogcrew.com/products/jordan-1-mid-se-seersucker-w
https://crepdogcrew.com,9213367943414,Jordan 1 Low SE Patent Varsity Red Black,sneaker shoes,Nike Air Jordan,49281966276854,RED / UK 6,CL65319,9999.00,False,Sold Out,0 units left (Sold Out),https://crepdogcrew.com/products/jordan-1-low-se-patent-varsity-red-black
https://crepdogcrew.com,9213367943414,Jordan 1 Low SE Patent Varsity Red Black,sneaker shoes,Nike Air Jordan,51444276560118,RED / UK 6.5,,9999.00,True,Available,In Stock,https://crepdogcrew.com/products/jordan-1-low-se-patent-varsity-red-black
https://crepdogcrew.com,9213367943414,Jordan 1 Low SE Patent Varsity Red Black,sneaker shoes,Nike Air Jordan,49281966309622,RED / UK 7,CL65320,9999.00,False,Sold Out,0 units left (Sold Out),https://crepdogcrew.com/products/jordan-1-low-se-patent-varsity-red-black
https://crepdogcrew.com,9213367943414,Jordan 1 Low SE Patent Varsity Red Black,sneaker shoes,Nike Air Jordan,51444276592886,RED / UK 7.5,,9999.00,True,Available,In Stock,https://crepdogcrew.com/products/jordan-1-low-se-patent-varsity-red-black
https://crepdogcrew.com,9213367943414,Jordan 1 Low SE Patent Varsity Red Black,sneaker shoes,Nike Air Jordan,49281966342390,RED / UK 8,CDC,9999.00,False,Sold Out,0 units left (Sold Out),https://crepdogcrew.com/products/jordan-1-low-se-patent-varsity-red-black
https://crepdogcrew.com,9213367943414,Jordan 1 Low SE Patent Varsity Red Black,sneaker shoes,Nike Air Jordan,51444276625654,RED / UK 8.5,,9999.00,True,Available,In Stock,https://crepdogcrew.com/products/jordan-1-low-se-patent-varsity-red-black
https://crepdogcrew.com,9213367943414,Jordan 1 Low SE Patent Varsity Red Black,sneaker shoes,Nike Air Jordan,49281966375158,RED / UK 9,CDC,9999.00,False,Sold Out,0 units left (Sold Out),https://crepdogcrew.com/products/jordan-1-low-se-patent-varsity-red-black
https://crepdogcrew.com,9213367943414,Jordan 1 Low SE Patent Varsity Red Black,sneaker shoes,Nike Air Jordan,51444276658422,RED / UK 9.5,,9999.00,True,Available,In Stock,https://crepdogcrew.com/products/jordan-1-low-se-patent-varsity-red-black
https://crepdogcrew.com,9213367943414,Jordan 1 Low SE Patent Varsity Red Black,sneaker shoes,Nike Air Jordan,49281966407926,RED / UK 10,CDC,9999.00,False,Sold Out,0 units left (Sold Out),https://crepdogcrew.com/products/jordan-1-low-se-patent-varsity-red-black
https://crepdogcrew.com,9213367943414,Jordan 1 Low SE Patent Varsity Red Black,sneaker shoes,Nike Air Jordan,49281966440694,RED / UK 11,CDC,9999.00,False,Sold Out,0 units left (Sold Out),https://crepdogcrew.com/products/jordan-1-low-se-patent-varsity-red-black
https://crepdogcrew.com,9213367943414,Jordan 1 Low SE Patent Varsity Red Black,sneaker shoes,Nike Air Jordan,51444276691190,RED / UK 12,,9999.00,True,Available,In Stock,https://crepdogcrew.com/products/jordan-1-low-se-patent-varsity-red-black
https://crepdogcrew.com,8973550649590,Jordan 1 Mid Pink Foam Fire Red (GS),sneaker shoes,Nike Air Jordan,51491805266166,PINK / UK 3.5,,14999.00,True,Available,In Stock,https://crepdogcrew.com/products/jordan-1-mid-pink-foam-fire-red-gs
https://crepdogcrew.com,8973550649590,Jordan 1 Mid Pink Foam Fire Red (GS),sneaker shoes,Nike Air Jordan,51491805298934,PINK / UK 4,,15499.00,True,Available,In Stock,https://crepdogcrew.com/products/jordan-1-mid-pink-foam-fire-red-gs
