date,store_name,product_name,size,sku,price,units_sold,units_restocked,estimated_revenue,stock_remaining_today,product_url
2026-09-17,Cava Athleisure,Plum Cotton Flared Leggings,S,WFP6221PUS,1599.0,1,0,1599.0,92,https://cavaathleisure.com/products/plum-cotton-flared-leggings
2026-09-17,Cava Athleisure,Plum Cotton Flared Leggings,XL,WFP6221PUXL,1599.0,1,0,1599.0,57,https://cavaathleisure.com/products/plum-cotton-flared-leggings
2026-09-17,Cava Athleisure,Ivory Everywear Leisure Tee,S,MTS1422WHS,699.0,1,0,699.0,100,https://cavaathleisure.com/products/ivory-everywear-leisure-tee
2026-09-17,Cava Athleisure,Ivory Everywear Leisure Tee,M,MTS1422WHM,699.0,1,0,699.0,149,https://cavaathleisure.com/products/ivory-everywear-leisure-tee
2026-09-17,Cava Athleisure,Ivory Cotton Leisure Shorts,L,MSH1622WHL,799.0,1,0,799.0,88,https://cavaathleisure.com/products/ivory-cotton-leisure-shorts
2026-09-17,Cava Athleisure,Navy Cotton Flared Leggings,XS,WFP6221NYXS,1599.0,1,0,1599.0,43,https://cavaathleisure.com/products/navy-cotton-flared-leggings
2026-09-17,Cava Athleisure,Navy Cotton Flared Leggings,S,WFP6221NYS,1599.0,1,0,1599.0,106,https://cavaathleisure.com/products/navy-cotton-flared-leggings
2026-09-17,Cava Athleisure,Navy Cotton Flared Leggings,M,WFP6221NYM,1599.0,1,0,1599.0,130,https://cavaathleisure.com/products/navy-cotton-flared-leggings
2026-09-17,Cava Athleisure,Navy Cotton Flared Leggings,L,WFP6221NYL,1599.0,1,0,1599.0,104,https://cavaathleisure.com/products/navy-cotton-flared-leggings
2026-09-17,Cava Athleisure,Purple Contour Flared Leggings,S,WFP3720PUS,1399.0,1,0,1399.0,95,https://cavaathleisure.com/products/purple-contour-flared-leggings
2026-09-17,Cava Athleisure,Purple Contour Flared Leggings,M,WFP3720PUM,1399.0,1,0,1399.0,170,https://cavaathleisure.com/products/purple-contour-flared-leggings
2026-09-17,Cava Athleisure,Purple Contour Flared Leggings,L,WFP3720PUL,1399.0,3,0,4197.0,119,https://cavaathleisure.com/products/purple-contour-flared-leggings
2026-09-17,Cava Athleisure,Teal Contour Flared Leggings,XS,WFP3720GRXS,1399.0,1,0,1399.0,59,https://cavaathleisure.com/products/teal-contour-flared-leggings
2026-09-17,Cava Athleisure,Teal Contour Flared Leggings,M,WFP3720GRM,1399.0,3,0,4197.0,163,https://cavaathleisure.com/products/teal-contour-flared-leggings
2026-09-17,Cava Athleisure,Teal Contour Flared Leggings,L,WFP3720GRL,1399.0,1,0,1399.0,115,https://cavaathleisure.com/products/teal-contour-flared-leggings
2026-09-17,Cava Athleisure,Ivory Studio Gym Bag,One size,WAC10923WHFREE,1699.0,0,1,0.0,404,https://cavaathleisure.com/products/ivory-studio-gym-bag
2026-09-17,Cava Athleisure,Black Studio Gym Bag,One size,WAC10923BKFREE,1699.0,5,0,8495.0,446,https://cavaathleisure.com/products/black-studio-gym-bag
2026-09-17,Cava Athleisure,Blush Lace Off-Shoulder Top,S,WTP16517PNS,1799.0,2,0,3598.0,8,https://cavaathleisure.com/products/blush-lace-off-shoulder-top
2026-09-17,Cava Athleisure,Blush Lace Off-Shoulder Top,L,WTP16517PNL,1799.0,1,0,1799.0,13,https://cavaathleisure.com/products/blush-lace-off-shoulder-top
2026-09-17,Cava Athleisure,Blush Lace Off-Shoulder Top,XL,WTP16517PNXL,1799.0,1,0,1799.0,7,https://cavaathleisure.com/products/blush-lace-off-shoulder-top
2026-09-17,Cava Athleisure,Ivory Lace Off-Shoulder Top,M,WTP16517WHM,1799.0,0,1,0.0,1,https://cavaathleisure.com/products/ivory-lace-off-shoulder-top
2026-09-17,Cava Athleisure,Ivory Lace Off-Shoulder Top,XL,WTP16517WHXL,1799.0,1,0,1799.0,6,https://cavaathleisure.com/products/ivory-lace-off-shoulder-top
2026-09-17,Cava Athleisure,Blue  Lace Off-Shoulder Top,XS,WTP16517BLXS,1799.0,0,1,0.0,1,https://cavaathleisure.com/products/blue-lace-off-shoulder-top
2026-09-17,Cava Athleisure,Blue  Lace Off-Shoulder Top,S,WTP16517BLS,1799.0,3,0,5397.0,11,https://cavaathleisure.com/products/blue-lace-off-shoulder-top
2026-09-17,Cava Athleisure,Blue  Lace Off-Shoulder Top,M,WTP16517BLM,1799.0,1,0,1799.0,39,https://cavaathleisure.com/products/blue-lace-off-shoulder-top
2026-09-17,Cava Athleisure,Blue  Lace Off-Shoulder Top,L,WTP16517BLL,1799.0,1,0,1799.0,13,https://cavaathleisure.com/products/blue-lace-off-shoulder-top
2026-09-17,Cava Athleisure,Berry Lace Off-Shoulder Top,S,WTP16517RDS,1799.0,3,0,5397.0,27,https://cavaathleisure.com/products/berry-lace-off-shoulder-top
2026-09-17,Cava Athleisure,Berry Ruched Snug Leggings,M,WLG9917RDM,1999.0,3,0,5997.0,231,https://cavaathleisure.com/products/berry-ruched-snug-leggings
2026-09-17,Cava Athleisure,Berry Ruched Snug Leggings,L,WLG9917RDL,1999.0,1,0,1999.0,153,https://cavaathleisure.com/products/berry-ruched-snug-leggings
2026-09-17,Cava Athleisure,Berry Ruched Snug Leggings,XL,WLG9917RDXL,1999.0,1,0,1999.0,74,https://cavaathleisure.com/products/berry-ruched-snug-leggings
2026-09-17,Cava Athleisure,Berry Ruched Snug Leggings,XXL,WLG9917RDXXL,1999.0,1,0,1999.0,30,https://cavaathleisure.com/products/berry-ruched-snug-leggings
2026-09-17,Cava Athleisure,Black Polka Lace Off-Shoulder Top,XS,WTP16517BKXS,1899.0,0,1,0.0,1,https://cavaathleisure.com/products/black-polka-lace-off-shoulder-top
2026-09-17,Cava Athleisure,Black Polka Lace Off-Shoulder Top,S,WTP16517BKS,1899.0,0,1,0.0,1,https://cavaathleisure.com/products/black-polka-lace-off-shoulder-top
2026-09-17,Cava Athleisure,Black Polka Lace Off-Shoulder Top,M,WTP16517BKM,1899.0,0,1,0.0,1,https://cavaathleisure.com/products/black-polka-lace-off-shoulder-top
2026-09-17,Cava Athleisure,Black Polka Lace Off-Shoulder Top,L,WTP16517BKL,1899.0,2,0,3798.0,2,https://cavaathleisure.com/products/black-polka-lace-off-shoulder-top
2026-09-17,Cava Athleisure,Blush Ruched Snug Leggings,M,WLG9917PNM,1999.0,1,0,1999.0,230,https://cavaathleisure.com/products/blush-ruched-snug-leggings
2026-09-17,Cava Athleisure,Black Polka Ruched Snug Leggings,XS,WLG9917PBKXS,2099.0,0,1,0.0,21,https://cavaathleisure.com/products/black-polka-ruched-snug-leggings
2026-09-17,Cava Athleisure,Black Polka Ruched Snug Leggings,S,WLG9917PBKS,2099.0,0,48,0.0,68,https://cavaathleisure.com/products/black-polka-ruched-snug-leggings
2026-09-17,Cava Athleisure,Black Polka Ruched Snug Leggings,M,WLG9917PBKM,2099.0,4,0,8396.0,7,https://cavaathleisure.com/products/black-polka-ruched-snug-leggings
2026-09-17,Cava Athleisure,Black Polka Ruched Snug Leggings,L,WLG9917PBKL,2099.0,0,124,0.0,125,https://cavaathleisure.com/products/black-polka-ruched-snug-leggings
2026-09-17,Cava Athleisure,Black Polka Ruched Snug Leggings,XL,WLG9917PBKXL,2099.0,0,33,0.0,34,https://cavaathleisure.com/products/black-polka-ruched-snug-leggings
