date,store_name,total_units_sold,total_units_restocked,total_estimated_revenue,items_with_sales
2026-09-23,Cava Athleisure,11680,129,10996108.0,1111
2026-09-23,Musclemind,13,6,31987.0,10
2026-09-23,Kosher Casual,21,0,623.52,19
