date,store_name,total_units_sold,total_units_restocked,total_estimated_revenue,items_with_sales
2026-09-19,Cava Athleisure,200,149650,338838.0,144
2026-09-19,Musclemind,1137,340,2073713.0,354
2026-09-19,Kosher Casual,8728,170,245980.78,946
