date,store_name,product_name,size,sku,price,units_sold,units_restocked,estimated_revenue,stock_remaining_today,product_url
2026-09-15,Cava Athleisure,Purple Contour Flared Leggings,S,WFP3720PUS,1399.0,1,0,1399.0,98,https://cavaathleisure.com/products/purple-contour-flared-leggings
2026-09-15,Cava Athleisure,Purple Contour Flared Leggings,M,WFP3720PUM,1399.0,1,0,1399.0,171,https://cavaathleisure.com/products/purple-contour-flared-leggings
2026-09-15,Cava Athleisure,Purple Contour Flared Leggings,L,WFP3720PUL,1399.0,1,0,1399.0,124,https://cavaathleisure.com/products/purple-contour-flared-leggings
2026-09-15,Cava Athleisure,Navy Cotton Flared Leggings,M,WFP6221NYM,1599.0,1,0,1599.0,133,https://cavaathleisure.com/products/navy-cotton-flared-leggings
2026-09-15,Cava Athleisure,Navy Cotton Flared Leggings,L,WFP6221NYL,1599.0,1,0,1599.0,106,https://cavaathleisure.com/products/navy-cotton-flared-leggings
2026-09-15,Cava Athleisure,Navy Cotton Flared Leggings,XL,WFP6221NYXL,1599.0,1,0,1599.0,62,https://cavaathleisure.com/products/navy-cotton-flared-leggings
2026-09-15,Cava Athleisure,Plum Cotton Flared Leggings,M,WFP6221PUM,1599.0,2,0,3198.0,83,https://cavaathleisure.com/products/plum-cotton-flared-leggings
2026-09-15,Cava Athleisure,Plum Cotton Flared Leggings,XXL,WFP6221PUXXL,1599.0,1,0,1599.0,30,https://cavaathleisure.com/products/plum-cotton-flared-leggings
2026-09-15,Cava Athleisure,Teal Contour Flared Leggings,XS,WFP3720GRXS,1399.0,1,0,1399.0,61,https://cavaathleisure.com/products/teal-contour-flared-leggings
2026-09-15,Cava Athleisure,Teal Contour Flared Leggings,S,WFP3720GRS,1399.0,1,0,1399.0,106,https://cavaathleisure.com/products/teal-contour-flared-leggings
2026-09-15,Cava Athleisure,Teal Contour Flared Leggings,L,WFP3720GRL,1399.0,1,0,1399.0,118,https://cavaathleisure.com/products/teal-contour-flared-leggings
2026-09-15,Cava Athleisure,Teal Contour Flared Leggings,XL,WFP3720GRXL,1399.0,1,0,1399.0,53,https://cavaathleisure.com/products/teal-contour-flared-leggings
2026-09-15,Cava Athleisure,Pink Studio Gym Bag,One size,WAC10923PNFREE,1699.0,1,0,1699.0,444,https://cavaathleisure.com/products/pink-studio-gym-bag
2026-09-15,Cava Athleisure,Ivory Studio Gym Bag,One size,WAC10923WHFREE,1699.0,1,0,1699.0,405,https://cavaathleisure.com/products/ivory-studio-gym-bag
2026-09-15,Cava Athleisure,Blue Studio Gym Bag,One size,WAC10923BLFREE,1699.0,1,0,1699.0,456,https://cavaathleisure.com/products/blue-studio-gym-bag
2026-09-15,Cava Athleisure,Black Studio Gym Bag,One size,WAC10923BKFREE,1699.0,0,2,0.0,444,https://cavaathleisure.com/products/black-studio-gym-bag
2026-09-15,Cava Athleisure,Ivory Lace Off-Shoulder Top,XL,WTP16517WHXL,1799.0,1,0,1799.0,7,https://cavaathleisure.com/products/ivory-lace-off-shoulder-top
2026-09-15,Cava Athleisure,Berry Ruched Capri,XL,WLG13417RDXL,1899.0,3,0,5697.0,0,https://cavaathleisure.com/products/berry-ruched-capri
2026-09-15,Cava Athleisure,Berry Ruched Capri,XXL,WLG13417RDXXL,1899.0,1,0,1899.0,3,https://cavaathleisure.com/products/berry-ruched-capri
2026-09-15,Cava Athleisure,Blush Lace Off-Shoulder Top,S,WTP16517PNS,1799.0,1,0,1799.0,15,https://cavaathleisure.com/products/blush-lace-off-shoulder-top
2026-09-15,Cava Athleisure,Blush Lace Off-Shoulder Top,M,WTP16517PNM,1799.0,1,0,1799.0,30,https://cavaathleisure.com/products/blush-lace-off-shoulder-top
2026-09-15,Cava Athleisure,Blue  Lace Off-Shoulder Top,S,WTP16517BLS,1799.0,3,0,5397.0,15,https://cavaathleisure.com/products/blue-lace-off-shoulder-top
2026-09-15,Cava Athleisure,Blue  Lace Off-Shoulder Top,M,WTP16517BLM,1799.0,2,0,3598.0,41,https://cavaathleisure.com/products/blue-lace-off-shoulder-top
2026-09-15,Cava Athleisure,Black Polka Lace Off-Shoulder Top,L,WTP16517BKL,1899.0,3,0,5697.0,15,https://cavaathleisure.com/products/black-polka-lace-off-shoulder-top
2026-09-15,Cava Athleisure,Berry Lace Off-Shoulder Top,M,WTP16517RDM,1799.0,2,0,3598.0,32,https://cavaathleisure.com/products/berry-lace-off-shoulder-top
2026-09-15,Cava Athleisure,Blush Ruched Snug Leggings,M,WLG9917PNM,1999.0,6,0,11994.0,231,https://cavaathleisure.com/products/blush-ruched-snug-leggings
2026-09-15,Cava Athleisure,Berry Ruched Snug Leggings,S,WLG9917RDS,1999.0,1,0,1999.0,102,https://cavaathleisure.com/products/berry-ruched-snug-leggings
2026-09-15,Cava Athleisure,Berry Ruched Snug Leggings,M,WLG9917RDM,1999.0,0,2,0.0,237,https://cavaathleisure.com/products/berry-ruched-snug-leggings
2026-09-15,Cava Athleisure,Black Polka Ruched Snug Leggings,XS,WLG9917PBKXS,2099.0,1,0,2099.0,24,https://cavaathleisure.com/products/black-polka-ruched-snug-leggings
2026-09-15,Cava Athleisure,Black Polka Ruched Snug Leggings,M,WLG9917PBKM,2099.0,0,1,0.0,18,https://cavaathleisure.com/products/black-polka-ruched-snug-leggings
2026-09-15,Cava Athleisure,Black Polka Ruched Snug Leggings,L,WLG9917PBKL,2099.0,1,0,2099.0,133,https://cavaathleisure.com/products/black-polka-ruched-snug-leggings
2026-09-15,Cava Athleisure,Black Polka Ruched Snug Leggings,XL,WLG9917PBKXL,2099.0,2,0,4198.0,39,https://cavaathleisure.com/products/black-polka-ruched-snug-leggings
2026-09-15,Cava Athleisure,Blush Ruched Flared Leggings,XS,WFP98T17PNXS,2299.0,1,0,2299.0,56,https://cavaathleisure.com/products/blush-ruched-flared-leggings
2026-09-15,Cava Athleisure,Blush Ruched Flared Leggings,S,WFP98P17PNS,2299.0,1,0,2299.0,172,https://cavaathleisure.com/products/blush-ruched-flared-leggings
2026-09-15,Cava Athleisure,Blush Ruched Flared Leggings,M,WFP98EXT17PNM,2299.0,1,0,2299.0,142,https://cavaathleisure.com/products/blush-ruched-flared-leggings
2026-09-15,Cava Athleisure,Blush Ruched Flared Leggings,XL,WFP98T17PNXL,2299.0,1,0,2299.0,121,https://cavaathleisure.com/products/blush-ruched-flared-leggings
2026-09-15,Cava Athleisure,Berry Ruched Flared Leggings,S,WFP98P17RDS,2299.0,1,0,2299.0,134,https://cavaathleisure.com/products/berry-ruched-flared-leggings
2026-09-15,Cava Athleisure,Berry Ruched Flared Leggings,M,WFP98P17RDM,2299.0,2,0,4598.0,265,https://cavaathleisure.com/products/berry-ruched-flared-leggings
2026-09-15,Cava Athleisure,Berry Ruched Flared Leggings,M,WFP98T17RDM,2299.0,3,0,6897.0,259,https://cavaathleisure.com/products/berry-ruched-flared-leggings
2026-09-15,Cava Athleisure,Berry Ruched Flared Leggings,L,WFP98P17RDL,2299.0,3,0,6897.0,179,https://cavaathleisure.com/products/berry-ruched-flared-leggings
