date,store_name,product_name,size,sku,price,units_sold,units_restocked,estimated_revenue,stock_remaining_today,product_url
2026-09-01,Cava Athleisure,Cherry Heartline Sports Bra,S,WSB3918RDS,1399.0,0,1,0.0,1,https://cavaathleisure.com/products/cherry-heartline-sports-bra
2026-09-01,Cava Athleisure,Free Gift Charm,Pink Pup Bag Charm,Cava-SoftServe-Charm,0.0,2,0,0.0,1,https://cavaathleisure.com/products/free-gift-charm
2026-09-01,Cava Athleisure,Free Gift Charm,Polka Bow Bag Charm,Cava-SoftServe-Charm,0.0,2,0,0.0,1,https://cavaathleisure.com/products/free-gift-charm
2026-09-01,Cava Athleisure,Free Gift Charm,Labrador Bag Charm,Cava-SoftServe-Charm,0.0,2,0,0.0,1,https://cavaathleisure.com/products/free-gift-charm
2026-09-01,Cava Athleisure,Free Gift Charm,Tennis Ball Bag Charm,Cava-SoftServe-Charm,0.0,2,0,0.0,1,https://cavaathleisure.com/products/free-gift-charm
2026-09-01,Cava Athleisure,Brown Hourglass Booty Shorts,XS,WSH0845BNXS,1099.0,36,0,39564.0,1,https://cavaathleisure.com/products/brown-hourglass-booty-shorts
2026-09-01,Cava Athleisure,Brown Hourglass Booty Shorts,S,WSH0845BNS,1099.0,100,0,109900.0,1,https://cavaathleisure.com/products/brown-hourglass-booty-shorts
2026-09-01,Cava Athleisure,Brown Hourglass Booty Shorts,M,WSH0845BNM,1099.0,17,0,18683.0,1,https://cavaathleisure.com/products/brown-hourglass-booty-shorts
2026-09-01,Cava Athleisure,Brown Hourglass Booty Shorts,L,WSH0845BNL,1099.0,0,1,0.0,1,https://cavaathleisure.com/products/brown-hourglass-booty-shorts
2026-09-01,Cava Athleisure,Light Grey Trailscape Tracks,30,MJR5410GYS,2049.0,2,0,4098.0,0,https://cavaathleisure.com/products/light-grey-trailscape-tracks
2026-09-01,Cava Athleisure,Light Grey Trailscape Tracks,32,MJR5410GYM,2049.0,18,0,36882.0,1,https://cavaathleisure.com/products/light-grey-trailscape-tracks
2026-09-01,Cava Athleisure,Light Grey Trailscape Tracks,34,MJR5410GYL,2049.0,33,0,67617.0,1,https://cavaathleisure.com/products/light-grey-trailscape-tracks
2026-09-01,Cava Athleisure,Light Grey Trailscape Tracks,36,MJR5410GYXL,2049.0,73,0,149577.0,1,https://cavaathleisure.com/products/light-grey-trailscape-tracks
2026-09-01,Cava Athleisure,Light Grey Trailscape Tracks,38,MJR5410GYXXL,2049.0,47,0,96303.0,1,https://cavaathleisure.com/products/light-grey-trailscape-tracks
2026-09-01,Cava Athleisure,Navy Trailscape Tracks,34,MJR5410NYL,2049.0,38,0,77862.0,1,https://cavaathleisure.com/products/navy-trailscape-tracks
2026-09-01,Cava Athleisure,Navy Trailscape Tracks,36,MJR5410NYXL,2049.0,61,0,124989.0,1,https://cavaathleisure.com/products/navy-trailscape-tracks
2026-09-01,Cava Athleisure,Navy Trailscape Tracks,38,MJR5410NYXXL,2049.0,48,0,98352.0,1,https://cavaathleisure.com/products/navy-trailscape-tracks
2026-09-01,Cava Athleisure,Brown Trailscape Tracks,32,MJR5410BNM,2049.0,3,0,6147.0,1,https://cavaathleisure.com/products/brown-trailscape-tracks
2026-09-01,Cava Athleisure,Brown Trailscape Tracks,34,MJR5410BNL,2049.0,38,0,77862.0,1,https://cavaathleisure.com/products/brown-trailscape-tracks
2026-09-01,Cava Athleisure,Brown Trailscape Tracks,36,MJR5410BNXL,2049.0,67,0,137283.0,1,https://cavaathleisure.com/products/brown-trailscape-tracks
2026-09-01,Cava Athleisure,Brown Trailscape Tracks,38,MJR5410BNXXL,2049.0,43,0,88107.0,1,https://cavaathleisure.com/products/brown-trailscape-tracks
2026-09-01,Cava Athleisure,Black Trailscape Tracks,30,MJR5410BKS,2049.0,0,1,0.0,1,https://cavaathleisure.com/products/black-trailscape-tracks
2026-09-01,Cava Athleisure,Black Trailscape Tracks,34,MJR5410BKL,2049.0,0,1,0.0,1,https://cavaathleisure.com/products/black-trailscape-tracks
2026-09-01,Cava Athleisure,Black Trailscape Tracks,36,MJR5410BKXL,2049.0,20,0,40980.0,1,https://cavaathleisure.com/products/black-trailscape-tracks
2026-09-01,Cava Athleisure,Black Trailscape Tracks,38,MJR5410BKXXL,2049.0,34,0,69666.0,1,https://cavaathleisure.com/products/black-trailscape-tracks
2026-09-01,Cava Athleisure,Coral Sculpt Crew Top,XS,WTP0218ORXS,899.0,78,0,70122.0,1,https://cavaathleisure.com/products/coral-sculpt-crew-top
2026-09-01,Cava Athleisure,Coral Sculpt Crew Top,S,WTP0218ORS,899.0,194,0,174406.0,1,https://cavaathleisure.com/products/coral-sculpt-crew-top
2026-09-01,Cava Athleisure,Coral Sculpt Crew Top,M,WTP0218ORM,899.0,218,0,195982.0,1,https://cavaathleisure.com/products/coral-sculpt-crew-top
2026-09-01,Cava Athleisure,Coral Sculpt Crew Top,L,WTP0218ORL,899.0,104,0,93496.0,1,https://cavaathleisure.com/products/coral-sculpt-crew-top
2026-09-01,Cava Athleisure,Coral Sculpt Crew Top,XL,WTP0218ORXL,899.0,64,0,57536.0,1,https://cavaathleisure.com/products/coral-sculpt-crew-top
2026-09-01,Cava Athleisure,Coral Sculpt Crew Top,XXL,WTP0218ORXXL,899.0,26,0,23374.0,1,https://cavaathleisure.com/products/coral-sculpt-crew-top
2026-09-01,Cava Athleisure,Coral Sculpt Core Top,XS,WTP0118ORXS,799.0,92,0,73508.0,1,https://cavaathleisure.com/products/coral-sculpt-core-top
2026-09-01,Cava Athleisure,Coral Sculpt Core Top,S,WTP0118ORS,799.0,103,0,82297.0,1,https://cavaathleisure.com/products/coral-sculpt-core-top
2026-09-01,Cava Athleisure,Coral Sculpt Core Top,M,WTP0118ORM,799.0,0,1,0.0,1,https://cavaathleisure.com/products/coral-sculpt-core-top
2026-09-01,Cava Athleisure,Mint Sculpt Crew Top,XS,WTP0218GRXS,899.0,51,0,45849.0,1,https://cavaathleisure.com/products/mint-sculpt-crew-top
2026-09-01,Cava Athleisure,Mint Sculpt Crew Top,S,WTP0218GRS,899.0,166,0,149234.0,1,https://cavaathleisure.com/products/mint-sculpt-crew-top
2026-09-01,Cava Athleisure,Mint Sculpt Crew Top,M,WTP0218GRM,899.0,153,0,137547.0,1,https://cavaathleisure.com/products/mint-sculpt-crew-top
2026-09-01,Cava Athleisure,Mint Sculpt Crew Top,L,WTP0218GRL,899.0,50,0,44950.0,1,https://cavaathleisure.com/products/mint-sculpt-crew-top
2026-09-01,Cava Athleisure,Mint Sculpt Crew Top,XL,WTP0218GRXL,899.0,21,0,18879.0,1,https://cavaathleisure.com/products/mint-sculpt-crew-top
2026-09-01,Cava Athleisure,Mint Sculpt Crew Top,XXL,WTP0218GRXXL,899.0,11,0,9889.0,1,https://cavaathleisure.com/products/mint-sculpt-crew-top
2026-09-01,Cava Athleisure,Mint Sculpt Booty Shorts,XS,WSH0418GRXS,999.0,85,0,84915.0,1,https://cavaathleisure.com/products/mint-sculpt-booty-shorts
