date,store_name,total_units_sold,total_units_restocked,total_estimated_revenue,items_with_sales
2026-09-22,Cava Athleisure,8603,2467,11305022.0,1054
2026-09-22,Musclemind,87,781,206423.0,55
2026-09-22,Kosher Casual,30,3,877.0,26
