date,store_name,total_units_sold,total_units_restocked,total_estimated_revenue,items_with_sales
2026-09-26,Cava Athleisure,4660,4804,5402745.0,859
2026-09-26,Musclemind,18,22,40482.0,13
2026-09-26,Kosher Casual,8,0,231.2,7
