date,store_name,product_name,size,sku,price,units_sold,units_restocked,estimated_revenue,stock_remaining_today,product_url
2026-09-26,Cava Athleisure,Blue Polka Swirl Tennis Skorts,XS,WSK11417BLXS,2099.0,1,0,2099.0,40,https://cavaathleisure.com/products/blue-polka-swirl-tennis-skorts
2026-09-26,Cava Athleisure,Blue Polka Swirl Tennis Skorts,S,WSK11417BLS,2099.0,3,0,6297.0,65,https://cavaathleisure.com/products/blue-polka-swirl-tennis-skorts
2026-09-26,Cava Athleisure,Blue Polka Swirl Tennis Skorts,M,WSK11417BLM,2099.0,1,0,2099.0,68,https://cavaathleisure.com/products/blue-polka-swirl-tennis-skorts
2026-09-26,Cava Athleisure,Blue Polka Swirl Tennis Skorts,L,WSK11417BLL,2099.0,2,0,4198.0,38,https://cavaathleisure.com/products/blue-polka-swirl-tennis-skorts
2026-09-26,Cava Athleisure,Blue Polka Swirl Tennis Skorts,XL,WSK11417BLXL,2099.0,1,0,2099.0,14,https://cavaathleisure.com/products/blue-polka-swirl-tennis-skorts
2026-09-26,Cava Athleisure,Ivory  Polka Racerback Tank,XS,WTN11317WHXS,1399.0,1,0,1399.0,21,https://cavaathleisure.com/products/ivory-polka-racerback-tank
2026-09-26,Cava Athleisure,Ivory  Polka Racerback Tank,S,WTN11317WHS,1399.0,1,0,1399.0,63,https://cavaathleisure.com/products/ivory-polka-racerback-tank
2026-09-26,Cava Athleisure,Ivory  Polka Racerback Tank,M,WTN11317WHM,1399.0,4,0,5596.0,74,https://cavaathleisure.com/products/ivory-polka-racerback-tank
2026-09-26,Cava Athleisure,Ivory  Polka Racerback Tank,L,WTN11317WHL,1399.0,2,0,2798.0,40,https://cavaathleisure.com/products/ivory-polka-racerback-tank
2026-09-26,Cava Athleisure,Blue  Polka Contour Booty Shorts,S,WSH10117BLS,2099.0,1,0,2099.0,57,https://cavaathleisure.com/products/blue-polka-contour-booty-shorts
2026-09-26,Cava Athleisure,Blue  Polka Contour Booty Shorts,M,WSH10117BLM,2099.0,1,0,2099.0,52,https://cavaathleisure.com/products/blue-polka-contour-booty-shorts
2026-09-26,Cava Athleisure,Blue  Polka Racerback Tank,XS,WTN11317BLXS,1799.0,2,0,3598.0,21,https://cavaathleisure.com/products/blue-polka-racerback-tank
2026-09-26,Cava Athleisure,Blue  Polka Racerback Tank,S,WTN11317BLS,1799.0,6,0,10794.0,79,https://cavaathleisure.com/products/blue-polka-racerback-tank
2026-09-26,Cava Athleisure,Blue  Polka Racerback Tank,M,WTN11317BLM,1799.0,7,0,12593.0,86,https://cavaathleisure.com/products/blue-polka-racerback-tank
2026-09-26,Cava Athleisure,Blue  Polka Racerback Tank,L,WTN11317BLL,1799.0,3,0,5397.0,50,https://cavaathleisure.com/products/blue-polka-racerback-tank
2026-09-26,Cava Athleisure,Blue  Polka Racerback Tank,XL,WTN11317BLXL,1799.0,1,0,1799.0,13,https://cavaathleisure.com/products/blue-polka-racerback-tank
2026-09-26,Cava Athleisure,Blue  Polka Racerback Tank,XXL,WTN11317BLXXL,1799.0,1,0,1799.0,4,https://cavaathleisure.com/products/blue-polka-racerback-tank
2026-09-26,Cava Athleisure,Butter Yellow Polka Swirl Tennis Skorts,S,WSK11417YLS,2099.0,1,0,2099.0,82,https://cavaathleisure.com/products/butter-yellow-polka-swirl-tennis-skorts
2026-09-26,Cava Athleisure,Butter Yellow Polka Swirl Tennis Skorts,L,WSK11417YLL,2099.0,1,0,2099.0,42,https://cavaathleisure.com/products/butter-yellow-polka-swirl-tennis-skorts
2026-09-26,Cava Athleisure,Butter Yellow Polka Swirl Tennis Skorts,XL,WSK11417YLXL,2099.0,1,0,2099.0,17,https://cavaathleisure.com/products/butter-yellow-polka-swirl-tennis-skorts
2026-09-26,Cava Athleisure,Ivory Polka Swirl Tennis Skorts,S,WSK11417WHS,1499.0,1,0,1499.0,64,https://cavaathleisure.com/products/ivory-polka-swirl-tennis-skorts
2026-09-26,Cava Athleisure,Ivory Polka Swirl Tennis Skorts,M,WSK11417WHM,1499.0,1,0,1499.0,60,https://cavaathleisure.com/products/ivory-polka-swirl-tennis-skorts
2026-09-26,Cava Athleisure,Blush Polka Swirl Tennis Skorts,XS,WSK11417PNXS,1499.0,2,0,2998.0,38,https://cavaathleisure.com/products/blush-polka-swirl-tennis-skorts
2026-09-26,Cava Athleisure,Blush Polka Swirl Tennis Skorts,S,WSK11417PNS,1499.0,3,0,4497.0,63,https://cavaathleisure.com/products/blush-polka-swirl-tennis-skorts
2026-09-26,Cava Athleisure,Blush Polka Swirl Tennis Skorts,M,WSK11417PNM,1499.0,2,0,2998.0,61,https://cavaathleisure.com/products/blush-polka-swirl-tennis-skorts
2026-09-26,Cava Athleisure,Blush Polka Swirl Tennis Skorts,L,WSK11417PNL,1499.0,6,0,8994.0,31,https://cavaathleisure.com/products/blush-polka-swirl-tennis-skorts
2026-09-26,Cava Athleisure,Blush Polka Swirl Tennis Skorts,XXL,WSK11417PNXXL,1499.0,1,0,1499.0,3,https://cavaathleisure.com/products/blush-polka-swirl-tennis-skorts
2026-09-26,Cava Athleisure,Butter Yellow Polka Contour Booty Shorts,XS,WSH10117YLXS,2099.0,4,0,8396.0,24,https://cavaathleisure.com/products/butter-yellow-polka-contour-booty-shorts
2026-09-26,Cava Athleisure,Blush Polka Contour Booty Shorts,XS,WSH10117PNXS,1699.0,2,0,3398.0,21,https://cavaathleisure.com/products/blush-polka-contour-booty-shorts
2026-09-26,Cava Athleisure,Butter Yellow Polka Cross Back Sports Bra,XS,WSB11517YLXS,1999.0,1,0,1999.0,30,https://cavaathleisure.com/products/butter-yellow-polka-cross-back-sports-bra
2026-09-26,Cava Athleisure,Butter Yellow Polka Cross Back Sports Bra,S,WSB11517YLS,1999.0,2,0,3998.0,49,https://cavaathleisure.com/products/butter-yellow-polka-cross-back-sports-bra
2026-09-26,Cava Athleisure,Butter Yellow Polka Cross Back Sports Bra,M,WSB11517YLM,1999.0,1,0,1999.0,81,https://cavaathleisure.com/products/butter-yellow-polka-cross-back-sports-bra
2026-09-26,Cava Athleisure,Butter Yellow Polka Cross Back Sports Bra,L,WSB11517YLL,1999.0,2,0,3998.0,56,https://cavaathleisure.com/products/butter-yellow-polka-cross-back-sports-bra
2026-09-26,Cava Athleisure,Butter Yellow Polka Cross Back Sports Bra,XXL,WSB11517YLXXL,1999.0,1,0,1999.0,17,https://cavaathleisure.com/products/butter-yellow-polka-cross-back-sports-bra
2026-09-26,Cava Athleisure,Blush Polka Cross Back Sports Bra,XS,WSB11517PNXS,1399.0,1,0,1399.0,23,https://cavaathleisure.com/products/blush-polka-cross-back-sports-bra
